car	occupants	mpg	top.speed	bph	torque.lbs.ft	zero.sixty.sec	am	wgt	female.proportion	place	won
Rolls Royce Silver Shadow	Jamie Farr	14	140	200	250	10.9	auto	4648	0.5	3	0
Aston Martin DB5	Roger Moore	14.7	143	282	288	8	auto	3311	0	3	0
Chevrolet Monte Carlo	Terry Bradshaw & Mel Tillis	14	111	145	245	13.6	auto	3852	0	0	0
Chevrolet Chevelle Laguna	Terry Bradshaw & Mel Tillis	21.9	104	215	350	8.6	auto	4301	0	0	0
Subaru Leone	Jackie Chan & Michael Hui	26	93	86	91	14.7	man	2017	0	3	0
Lamborghini Countach	Tara Buckman & Adrienne Barbeau	15.1	182	370	266	5.1	man	3571	1	1	1
Mercedes 280 SEL sedan									0	
Ferrari 308 GTS	Sammy Davis, Jr. & Dean Martin	22.7	146	205	181	7.2	man	3225	0	3	0
Dodge Tradesman	Jack Elam, Farrah Fawcett, Dom DeLuise and Burt Reynolds	12	100	170	262		auto	7700	0.25	2	0
2004 Mercedes-Benz CL55 AMG	Ed Bolian and a couple other dudes	23.3	198	493	516	4.3	auto	4233	0	0
